AVALANCHE,"May 4, 2024, 10:25:00 PM",36.867,36.893,36.894,36.866,35.0,5,2024-05-04 22:25:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:26:00 PM",36.891,36.941,36.942,36.886,42.0,5,2024-05-04 22:26:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:27:00 PM",36.939,36.947,36.948,36.935,27.0,5,2024-05-04 22:27:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:28:00 PM",36.946,36.949,36.949,36.942,31.0,5,2024-05-04 22:28:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:29:00 PM",36.95,37.014,37.025,36.945,23.0,5,2024-05-04 22:29:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:30:00 PM",37.017,37.05,37.13,37.017,114.0,5,2024-05-04 22:30:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:31:00 PM",37.051,37.075,37.076,37.033,81.0,5,2024-05-04 22:31:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:32:00 PM",37.077,37.043,37.11,37.04,70.0,5,2024-05-04 22:32:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:33:00 PM",37.041,36.998,37.046,36.981,69.0,5,2024-05-04 22:33:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:34:00 PM",37.001,36.927,37.004,36.923,75.0,5,2024-05-04 22:34:00,,HOLD,
AVALANCHE,"May 4, 2024, 10:35:00 PM",36.932,36.812,36.933,36.779,109.0,5,2024-05-04 22:35:00,31.497753657718523,HOLD,
AVALANCHE,"May 4, 2024, 10:36:00 PM",36.815,36.867,36.87,36.813,80.0,5,2024-05-04 22:36:00,41.55722022693892,HOLD,
AVALANCHE,"May 4, 2024, 10:37:00 PM",36.868,36.928,36.962,36.868,95.0,5,2024-05-04 22:37:00,50.436746148986636,HOLD,
AVALANCHE,"May 4, 2024, 10:38:00 PM",36.925,36.909,36.926,36.892,40.0,5,2024-05-04 22:38:00,47.94109807366055,HOLD,
AVALANCHE,"May 4, 2024, 10:39:00 PM",36.91,36.934,36.937,36.907,60.0,5,2024-05-04 22:39:00,51.420229492947335,HOLD,
AVALANCHE,"May 4, 2024, 10:40:00 PM",36.935,36.922,36.936,36.879,77.0,5,2024-05-04 22:40:00,49.66762801756115,HOLD,
